FIPS,State,County,effect_Cost_Per_Meal_on_obesity,effect_Cost_Per_Meal_on_diabetes,effect_Cost_Per_Meal_on_TOT,effect_SNAP_Participation_Rate_Pct_on_obesity,effect_SNAP_Participation_Rate_Pct_on_diabetes,effect_SNAP_Participation_Rate_Pct_on_TOT,effect_Median_Household_Income_on_obesity,effect_Median_Household_Income_on_diabetes,effect_Median_Household_Income_on_TOT,effect_pct_households_no_vehicle_on_obesity,effect_pct_households_no_vehicle_on_diabetes,effect_pct_households_no_vehicle_on_TOT,effect_No_SNAP_Below_Poverty_Gap_on_obesity,effect_No_SNAP_Below_Poverty_Gap_on_diabetes,effect_No_SNAP_Below_Poverty_Gap_on_TOT
48285,TX,Lavaca,0.35671691175885645,-4.180373342580846,-2797.70110531118,-0.02436062170308123,0.007896820197834012,11.385647911766114,0.00035556070832862936,-0.0002597906611705318,0.00036947077058335775,19.53302922736269,5.241567296311668,2459.4453580302616,-0.0001471442067092591,9.375061569647608e-06,0.07694791300259494
48303,TX,Lubbock,3.0032772338237876,-1.990321207175109,1305.3990483379123,0.028589615121400375,0.10605690463891618,70.7102075247609,-0.0003283786878331999,-0.00012510538591395826,-0.16571697368664712,0.9958424219380593,-0.003458071491632353,-3329.3731162175804,-0.00014813356962012724,-2.428030689047352e-05,-0.027094074525602224
51540,VA,Charlottesville,2.1896633549308557,0.8155729016706124,5126.617494409329,0.2911286501386303,0.1895393221437052,28.681836407068648,-0.0012833955052332145,0.0002763720317506711,-0.248952606242913,-21.995405313745646,6.195137038335095,-6850.528251393469,-7.75022512458369e-05,-4.6891724788893916e-05,-0.04274708531668477
51570,VA,Colonial Heights,-2.00372820379248,-4.248020191188122,1304.2205337683445,0.04486122004814805,0.03221787283809913,22.60259406312283,-0.00043093965788266564,-4.969042307090727e-05,0.019279385756851036,-4.781597495013034,-3.7525593060088833,-3790.20105894362,-7.125089920973648e-05,-6.233763406344371e-05,-0.0299333618133791
51610,VA,Falls Church,3.881733322511549,1.479202284786158,383.59117536407393,0.4760078935450719,0.0602721059214658,112.92596920499852,-0.001216031180855955,0.0002292349290116293,0.208888932788743,-40.65648634525961,-0.53823462961528,-6508.820108436003,0.00014279914190793748,-1.5155024618560716e-05,0.015625209802459107
2188,AK,Northwest Arctic,1.8891404660619706,0.3081115856023393,-10192.010083231771,0.19597923908277942,0.0938881532702451,177.33150730735485,0.0015221246938299305,0.001009841274529427,-2.0537427003680695,36.625671199217074,27.162846001288585,47491.82493752647,-3.2038564066638444e-05,-7.165063004054725e-05,-0.5115738645886964
39025,OH,Clermont,1.4174349500099916,-2.4684726291808836,-385.51178099606386,0.14309087333153686,0.00809968645414335,-10.019276202920025,-0.0002046414770266274,-9.660531538328805e-05,-0.0181978653913853,3.31220116116092,-1.7455977419570137,-3174.7042291395464,-6.476428301630225e-05,-1.161288879047993e-05,0.009221968320697507
39053,OH,Gallia,-1.1963619178528004,-3.63178772013874,-510.21852440365046,0.052846215099473376,0.0611769338429152,-13.951163786206273,-0.0001755438541489779,-0.00012452461655488157,-0.11346227507772663,14.582722508562314,6.25507793647307,2255.9223279923563,-7.908198036537782e-05,-3.6451279322087616e-06,0.04762787711761161
39067,OH,Harrison,-1.7443837440048595,-3.1418576497923594,-1292.4497107084717,0.02341672303767997,0.0028551760606226884,-18.892141613279442,2.4766257679731678e-05,-7.008182069674262e-05,-0.12227899265620484,18.511416102187148,3.049644043967522,2962.4917392904063,-0.0001086283307849344,-4.606708599176077e-05,0.004697435485453233
31153,NE,Sarpy,2.6240062839744875,-2.170726953473912,473.4158933054823,0.1907229464628739,0.046435299766742315,60.01378138438861,-0.0004072232630889037,-1.1448419973284464e-05,0.03218398367265636,-14.058083029953755,-6.584587114285303,-5539.811537547439,-9.894047463585864e-06,-2.4492915062898324e-05,-0.05302039158126433
2013,AK,Aleutians East,8.664562528907322,-0.5220440836334859,6161.177054009251,0.33724068508975824,0.32070672583012716,-101.67689885830899,-0.00020322852745878234,0.0006082990282976464,-0.7851041417616367,-18.546059498133936,14.567880322020542,-11411.810242115656,-0.00037195921671554893,3.649152698552789e-06,-0.1933008339340329
40093,OK,Major,2.5613230044908946,-1.1468648198453333,-126.1703688370443,0.03999845561093503,0.014819885349510335,7.202675283990375,-2.1461882958119288e-05,-1.6374039956504132e-05,-0.07510945297114688,11.641322770105633,-2.3960814548769767,-2747.1702062304653,-0.00019990552474525151,-8.896039733264697e-05,-0.06643541620055098
31109,NE,Lancaster,0.9686631503321683,-1.6326128098040222,2238.0705231893753,0.11408556496095712,0.05798349841266658,44.48292012577077,-0.00041886828174703583,-1.8652003150972115e-05,-0.07705226008048466,-3.2774470775219626,-4.937947704585279,-2344.0026006717358,-9.535162199113201e-05,-6.237082957955686e-05,-0.07106842318743875
31119,NE,Madison,-3.7269004831047923,-3.5488980079776327,-1609.3739260883422,-0.024853373789835393,0.08854051959999606,139.45993501774385,-6.241462845376692e-05,5.798555652881733e-05,-0.08503185919152727,3.4544324769818404,2.7589560750360747,8815.245104034497,-6.890944063937268e-06,-7.950293027251073e-05,-0.06581155391556395
5021,AR,Clay,-3.6526554234514075,-4.45234599047618,-875.0942530907355,0.006997965021181177,0.07527751548150319,-5.929994352985906,-0.00011817604719679037,-8.54042113393571e-05,-0.1103935699047955,17.272804079222375,9.047247517277203,5430.341943475056,-6.571864962200481e-05,-1.6812056194967463e-05,0.05183443380997919
5023,AR,Cleburne,-3.132778000924642,-3.024232037755406,-1198.93950091447,0.05239433094262453,-0.0038469764879500226,-41.384945869258225,0.00011234031783872761,-8.773052444632377e-05,-0.06605740777593602,22.611414538303404,6.760906894287032,5957.05925108138,-0.00011249547540379458,-3.093795560725729e-05,0.055319659901145346
5037,AR,Cross,-3.870327118778152,-4.958936409281142,-1824.5599894895872,0.015069773960891958,0.09918799277030109,22.139053894252456,-0.00015321183044087318,-0.00011866719187402197,-0.1693204541305165,17.325112635260002,12.160526248377383,8563.743836774996,-5.242930806336523e-07,1.8085852723037052e-05,0.07570629185228556
27071,MN,Koochiching,-1.0250426095056893,-1.0621990516941362,1772.5898954948427,0.11663140234052177,0.015252554498992623,-46.50667488272512,-0.0001321809760551948,1.872106649789508e-05,0.11102804544357452,12.67027377798475,0.5949366622125902,9.02631678263515,-0.00018603311478650615,-9.609207311042997e-05,-0.009893524537966533
19197,IA,Wright,1.2984313095308946,-0.7210675667977355,-2470.9494298206314,0.1298585552090868,0.06778384296255568,62.54834905333547,-8.935314611993226e-05,-4.807002518241257e-05,0.010595446268679976,13.506575916757576,8.806280860766105,6659.901133082106,-4.866288007905877e-05,-1.8782138762801187e-05,0.049964196379750664
20013,KS,Brown,2.088129794130788,-0.4413310869671647,979.6861078084579,0.052250125827502276,0.034476151892903505,23.03296403288066,-0.00016251584483736336,-4.326789090757145e-05,0.002087162058898917,11.27863427592163,-1.6938539283419511,-1355.1944745277972,-0.00020008787795102026,-9.588950715582694e-05,-0.04694799615782673
40107,OK,Okfuskee,2.275792537953679,-1.4313754906462886,-587.090958863053,0.14253364871489116,0.1130164992483313,-14.063530554472651,-0.00044481911853082236,-0.00020848323130343664,-0.1455959809206273,20.33207093680708,13.411448138326769,3703.6455505777194,-6.667173531438262e-05,4.831880246224211e-05,0.12531306507630102
31053,NE,Dodge,-0.9424457858920179,-2.3034787881343073,761.9806573230981,0.0621518014533046,0.03791293591999721,26.418459123385478,-0.0002991682228953091,7.964601161163012e-06,0.001434130814515714,4.1709925385610305,-3.1634043350846683,-772.1474131313523,-8.704364539180422e-05,-8.78208075877604e-05,-0.058132239816093986
