FIPS,AE_latent_1,AE_latent_2,AE_latent_3,AE_latent_4
13043,1.8782723,2.8876624,3.9676914,-1.7998906
13045,1.0057648,2.3148768,2.82306,-1.0081692
13047,1.3561463,2.9719596,3.2823997,-1.6462725
13051,1.0117679,4.1208673,4.8920913,-1.814268
13055,0.5262059,1.9459047,2.2531526,-1.7680467
13057,1.0654329,2.5534453,3.0136263,-0.4928104
13059,1.3250997,4.4830613,5.0559473,-1.9486006
13061,2.6810377,1.3102034,6.423034,-2.9778504
13063,0.11330177,2.2877572,2.5139503,-1.0646588
13067,0.59658957,3.998886,4.088817,-0.5162275
13069,1.3657498,3.5493262,3.7503421,-2.6899967
13071,1.6474411,3.2998796,4.3503814,-2.2759957
13073,1.5106251,3.2993186,3.6744149,-1.3372178
13077,1.2173595,2.4791262,3.1416016,-0.8208964
13081,0.6826054,3.0688329,5.067237,-3.2744548
13083,1.4537543,2.0820215,2.6401308,-1.4371593
13085,1.5082252,2.326264,3.1826832,-0.52698433
13087,1.3799608,2.9775898,3.7577505,-2.4462574
13089,0.12081291,4.0179706,4.5500474,-0.66746485
13091,1.3189747,2.6864705,3.2058837,-1.4314076
13093,1.4315655,3.0498345,4.2754707,-2.0936632
13095,0.85512197,3.8498654,4.4355125,-2.6515555
13097,0.7277055,1.849475,2.1358707,-0.5264183
13099,1.7536643,3.158693,5.435887,-2.5729494
13103,0.81359655,1.9704031,2.0200877,-0.56203496
13105,1.0437207,2.61199,3.1878276,-2.1425629
13111,1.4630891,2.5354352,2.9361627,-1.4649605
13113,1.2870598,2.39995,3.4728098,-0.5403025
13115,0.9779657,3.2826207,3.593263,-2.0135798
13117,1.3959737,2.6883,3.4909134,-0.47391602
13119,1.0886605,2.4861746,3.1164255,-1.5220988
13121,-0.27660418,5.9467826,6.420899,-0.684111
13123,1.0650616,1.9903407,2.0626278,-1.2046393
13127,2.0504227,3.958279,5.1297016,-2.0292654
13129,1.4208575,2.6641457,3.1124687,-1.6029826
13131,0.87476647,2.1918297,2.1549087,-1.8142332
13133,1.2893876,1.7688748,2.8574464,-1.5023311
13135,-0.19890009,3.3958936,2.6940808,-0.2979128
13137,0.9065197,2.1656554,2.081754,-1.4544318
13139,0.98675394,2.9914935,3.835187,-1.3487656
13143,0.61413264,1.1209269,1.2790512,-0.7480835
13145,1.8732349,3.3103108,3.9724073,-0.90266263
13151,0.78850216,2.0657327,2.2321267,-0.38944754
13153,1.3165575,3.5022435,3.548392,-1.7745804
13157,1.209433,2.3857098,2.9356015,-0.4835727
13163,0.8107436,1.6304666,2.8694735,-1.925974
13175,1.1104364,3.161465,3.5812361,-1.7138895
13179,1.1295244,2.9892719,2.7947369,-1.8014437
13185,1.3696282,4.1431623,4.428877,-2.2694907
13187,1.1850232,2.3779604,2.3447282,-1.0710772
13189,1.2629461,2.8887637,2.8330965,-2.0747592
13199,0.8795086,1.3879135,3.2344942,-0.73678267
13205,0.6303191,2.3434057,3.9072523,-2.407897
13207,1.1149414,2.4990788,2.2302592,-1.6720377
13213,0.76420146,2.308981,2.3376431,-1.324078
13215,0.9012791,4.3773274,5.4607525,-2.3108635
13217,0.58093476,1.2992586,1.7791435,-0.2823904
13219,1.9704463,3.2680745,3.7369237,-1.1540351
13223,0.26275623,0.89351225,1.0737792,0.27723777
13225,1.8686595,3.5886743,5.1777396,-1.3618987
13227,0.95899177,1.7344724,2.3104684,-0.43294153
