fips,state_abbr,min_wage_2023
48207,TX,7.25
48267,TX,7.25
48253,TX,7.25
48277,TX,7.25
48283,TX,7.25
48237,TX,7.25
48287,TX,7.25
48269,TX,7.25
48239,TX,7.25
48275,TX,7.25
48247,TX,7.25
48235,TX,7.25
48261,TX,7.25
48263,TX,7.25
48229,TX,7.25
48271,TX,7.25
48243,TX,7.25
48345,TX,7.25
48295,TX,7.25
48333,TX,7.25
48311,TX,7.25
48331,TX,7.25
48337,TX,7.25
48353,TX,7.25
48347,TX,7.25
48317,TX,7.25
48307,TX,7.25
48351,TX,7.25
48305,TX,7.25
48327,TX,7.25
48319,TX,7.25
48377,TX,7.25
48429,TX,7.25
48379,TX,7.25
48407,TX,7.25
48365,TX,7.25
48405,TX,7.25
48409,TX,7.25
48435,TX,7.25
48419,TX,7.25
48427,TX,7.25
48385,TX,7.25
48357,TX,7.25
48421,TX,7.25
48411,TX,7.25
48399,TX,7.25
48431,TX,7.25
48359,TX,7.25
48395,TX,7.25
48369,TX,7.25
48403,TX,7.25
48417,TX,7.25
48393,TX,7.25
48433,TX,7.25
48383,TX,7.25
48449,TX,7.25
48451,TX,7.25
48445,TX,7.25
48443,TX,7.25
48463,TX,7.25
48487,TX,7.25
48457,TX,7.25
48461,TX,7.25
48475,TX,7.25
48483,TX,7.25
49003,UT,7.25
48497,TX,7.25
49021,UT,7.25
48503,TX,7.25
49017,UT,7.25
48501,TX,7.25
49013,UT,7.25
49031,UT,7.25
49001,UT,7.25
49027,UT,7.25
49007,UT,7.25
49033,UT,7.25
48495,TX,7.25
49023,UT,7.25
50005,VT,13.18
50007,VT,13.18
49037,UT,7.25
49039,UT,7.25
50013,VT,13.18
49053,UT,7.25
49043,UT,7.25
49041,UT,7.25
49051,UT,7.25
49047,UT,7.25
49055,UT,7.25
51019,VA,12.0
50023,VT,13.18
51059,VA,12.0
51035,VA,12.0
51013,VA,12.0
51015,VA,12.0
51029,VA,12.0
51003,VA,12.0
51057,VA,12.0
51031,VA,12.0
51023,VA,12.0
51007,VA,12.0
51009,VA,12.0
51053,VA,12.0
51049,VA,12.0
51025,VA,12.0
51011,VA,12.0
51033,VA,12.0
51037,VA,12.0
51027,VA,12.0
51017,VA,12.0
51036,VA,12.0
51043,VA,12.0
51005,VA,12.0
51021,VA,12.0
51045,VA,12.0
51085,VA,12.0
51087,VA,12.0
51067,VA,12.0
51061,VA,12.0
51069,VA,12.0
51077,VA,12.0
51083,VA,12.0
51079,VA,12.0
51081,VA,12.0
51065,VA,12.0
51063,VA,12.0
51073,VA,12.0
51071,VA,12.0
51161,VA,12.0
51155,VA,12.0
51107,VA,12.0
51137,VA,12.0
51089,VA,12.0
51139,VA,12.0
51127,VA,12.0
51097,VA,12.0
51157,VA,12.0
51091,VA,12.0
51125,VA,12.0
51133,VA,12.0
51119,VA,12.0
51147,VA,12.0
51111,VA,12.0
51131,VA,12.0
51141,VA,12.0
51159,VA,12.0
51113,VA,12.0
51109,VA,12.0
51145,VA,12.0
51103,VA,12.0
51135,VA,12.0
51115,VA,12.0
51590,VA,12.0
51171,VA,12.0
51199,VA,12.0
51650,VA,12.0
51163,VA,12.0
51520,VA,12.0
51185,VA,12.0
51183,VA,12.0
